长安乱,7.4,74100人评价,https://book.douban.com/subject/1049219/,韩少也会借古喻今了
哈利·波特与混血王子,8.8,63031人评价,https://book.douban.com/subject/1432596/,感情线纷乱的一部。再见邓布利多
一个人的好天气,7.6,71758人评价,https://book.douban.com/subject/2250587/,冬日暖阳的温煦感
苏菲的世界,8.5,63284人评价,https://book.douban.com/subject/1045818/,最平易近人的哲学入门
许三观卖血记,8.7,64038人评价,https://book.douban.com/subject/1029791/,余华的悲凉，都在那一碗炒猪肝里了
1995-2005夏至未至,7.3,68743人评价,https://book.douban.com/subject/1049189/,当青春遁入歧途
撒哈拉的故事,9.0,61242人评价,https://book.douban.com/subject/1361264/,关于漂泊的一切
盗墓笔记,8.3,63202人评价,https://book.douban.com/subject/1948901/,想象奇诡的大型RPG游戏
霍乱时期的爱情,9.0,65205人评价,https://book.douban.com/subject/10594787/,义无反顾地直达爱情的核心
哈利·波特与凤凰社,8.7,59583人评价,https://book.douban.com/subject/1013129/,暴脾气的哈利
喜宝,8.1,44617人评价,https://book.douban.com/subject/2022979/,爱情才是终极的奢侈品
岛上书店,7.6,74485人评价,https://book.douban.com/subject/26340138/,爱书的人从不孤独
三生三世 十里桃花,7.9,68683人评价,https://book.douban.com/subject/3426869/,大风刮过有话要说
海边的卡夫卡,8.1,62371人评价,https://book.douban.com/subject/1059419/,背负诅咒的少年，平行世界中的奥德赛
文化苦旅,7.8,64989人评价,https://book.douban.com/subject/1050339/,“历史文化散文”
基督山伯爵,9.0,52010人评价,https://book.douban.com/subject/1085860/,完美的复仇，金庸用法语写作应该就是这样
窗边的小豆豆,8.7,59403人评价,https://book.douban.com/subject/1007914/,真正懂孩子的教育经
三国演义（全二册）,9.2,55667人评价,https://book.douban.com/subject/1019568/,是非成败转头空
黄金时代,8.8,59220人评价,https://book.douban.com/subject/1089243/,能把性爱写得如此坦荡的，大概只有王二了
悟空传,8.4,61366人评价,https://book.douban.com/subject/1003000/,猴子还是那个猴子，世界早已不是原来的世界
兄弟（上）,8.3,58875人评价,https://book.douban.com/subject/1401425/,历史苦难中的个人灾变
